Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
102.21,3.374054598,-0.004993893,-0.038634575,-0.051244291,11.67096774,-0.055425887
102.21,3.374054598,-0.002479374,-0.035977297,-0.051102802,11.67096774,-0.049980593
102.22,3.374054598,3.74e-05,-0.035867149,-0.050962881,11.67096774,-0.044173567
102.22,3.371507841,0.002556544,-0.038304152,-0.053371683,11.67096774,-0.039138981
102.22,3.381694869,0.005078013,-0.048382821,-0.045593621,11.67096774,-0.032484559
102.22,3.381694869,0.00760188,-0.050819609,-0.040364363,11.67096774,-0.023427083
102.22,3.379148112,0.002485445,-0.055803573,-0.047872464,11.67096774,-0.042531007
102.22,3.379148112,-8.1e-05,-0.055692953,-0.047740954,11.67096774,-0.046552922
102.22,3.374054598,-9.74e-05,-0.047940523,-0.050158366,11.67096774,-0.048825884
102.22,3.374054598,0.004983917,-0.045282601,-0.055124726,11.67096774,-0.052866558
102.22,3.376601355,0.004972572,-0.034982921,-0.062640071,11.67096774,-0.051767458
102.22,3.374054598,0.004963772,-0.027230538,-0.067610193,11.67096774,-0.0510183
102.22,3.379148112,0.004957546,-0.016930954,-0.075129382,11.67096774,-0.050116598
102.22,3.374054598,0.004953905,-0.004084229,-0.080103421,11.67096774,-0.042109066
102.22,3.371507841,0.002405303,0.00621513,-0.072343845,11.67096774,-0.028346097
102.22,3.374054598,-0.000140676,0.016514355,-0.059492055,11.67096774,-0.008704158
102.22,3.371507841,-0.002683992,0.026813422,-0.0542837,11.67096774,0.00329922
102.22,3.374054598,-0.00522462,0.03711232,-0.054171706,11.67096774,0.013832894
102.22,3.371507841,-0.005214966,0.04486375,-0.051514765,11.67096774,0.022545322
102.22,3.371507841,-0.002655002,0.044973145,-0.051407134,11.67096774,0.022887807
102.22,3.371507841,-0.002639865,0.0374405,-0.048754594,11.67096774,0.016046544
102.22,3.374054598,0.002473188,0.032454816,-0.046104318,11.67096774,0.017589171
102.23,3.371507841,0.002493883,0.030016069,-0.040909198,11.67096774,0.01392897
102.23,3.374054598,0.002517367,0.032671465,-0.035716399,11.67096774,0.015673346
102.23,3.371507841,-0.002551475,0.035326442,-0.03052595,11.67096774,0.015789123
102.23,3.374054598,-0.005069912,0.043075483,-0.020243636,11.67096774,0.029771816
102.23,3.371507841,-0.002490357,0.048276768,-0.007416614,11.67096774,0.044187355
102.23,3.374054598,-0.002455513,0.061119304,0.002860805,11.67096774,0.072795936
102.23,3.371507841,-0.002417808,0.063772234,0.010588588,11.67096774,0.083550633
102.23,3.374054598,-0.004924801,0.05878277,0.013219578,11.67096774,0.07834864
102.23,3.374054598,-0.004881322,0.046150891,0.026036494,11.67096774,0.076226964
102.23,3.374054598,-0.004834927,0.025876553,0.033756548,11.67096774,0.067055517
102.23,3.371507841,-0.002238044,0.018337802,0.036379706,11.67096774,0.066557616
102.23,3.374054598,-0.004733386,0.010798299,0.039000184,11.67096774,0.061175475
102.23,3.374054598,-0.004678237,0.000710744,0.039070834,11.67096774,0.054487684
102.23,3.374054598,-0.009715317,-0.014472182,0.039138765,11.67096774,0.035305027
102.23,3.374054598,-0.00965431,-0.029656003,0.034109702,11.67096774,0.017486773
102.23,3.374054598,-0.007042796,-0.034651703,0.031625005,11.67096774,0.017552191
102.23,3.371507841,0.000666792,-0.024364802,0.029137515,11.67096774,0.029214494
102.23,3.381694869,-0.001810954,-0.02426793,0.02155297,11.67096774,0.021499069
102.23,3.374054598,-0.004285765,-0.029266629,0.013965573,11.67096774,0.012302648
102.23,3.374054598,-0.004210059,-0.04445543,0.006375295,11.67096774,-0.003527443
102.24,3.381694869,-0.006679001,-0.049456309,-0.006312149,11.67096774,-0.018303553
102.24,3.371507841,0.006140432,-0.051911096,-0.008814014,11.67096774,-0.013117704
102.24,3.376601355,0.008772479,-0.051819824,-0.008771702,11.67096774,-0.013435715
102.24,3.374054598,0.006312291,-0.049182525,-0.008732367,11.67096774,-0.016556725
102.24,3.374054598,0.006402588,-0.054188259,-0.008696015,11.67096774,-0.026609922
102.24,3.374054598,0.011590943,-0.051553483,-0.008662653,11.67096774,-0.027954458
102.24,3.374054598,0.01678219,-0.046372768,-0.011179424,11.67096774,-0.028242593
102.24,3.374054598,0.019428742,-0.038646166,-0.008604952,11.67096774,-0.01819678
102.24,3.376601355,0.014435458,-0.033468225,-0.003486384,11.67096774,-0.015828491
102.24,3.371507841,0.009445056,-0.020649948,-0.000917993,11.67096774,-0.003894737
102.24,3.374054598,0.009552667,-0.010380391,0.004194481,11.67096774,0.018185951
102.24,3.371507841,0.007115559,-0.007754102,0.009303918,11.67096774,0.025136532
102.24,3.371507841,0.004681301,-0.01277112,0.016957439,11.67096774,0.029851244
102.24,3.371507841,0.004797426,-0.015242443,0.029702166,11.67096774,0.04361943
102.24,3.374054598,0.004916381,-0.010073589,0.04499096,11.67096774,0.057794637
102.24,3.371507841,0.002490549,0.002735409,0.05772954,11.67096774,0.066716408
102.24,3.374054598,0.005162659,0.012995453,0.065370791,11.67096774,0.07742489
102.24,3.371507841,0.007837519,0.018159277,0.078103208,11.67096774,0.088716143
102.24,3.374054598,0.015610306,0.023321364,0.088285411,11.67096774,0.105210047
102.24,3.371507841,0.018290673,0.02083989,0.095917401,11.67096774,0.112829889
102.24,3.379148112,0.015878613,0.020903876,0.106093429,11.67096774,0.118009707
102.25,3.379148112,0.016016826,0.023513266,0.113719222,11.67096774,0.124579812
102.25,3.379148112,0.008514988,0.031215271,0.123889021,11.67096774,0.132244292
102.25,3.376601355,0.00611095,0.033820835,0.128961441,11.67096774,0.132916801
102.25,3.379148112,-0.001385604,0.036424448,0.144219245,11.67096774,0.140265366
102.25,3.379148112,-0.001236829,0.0441206,0.149285435,11.67096774,0.150960651
102.25,3.379148112,-0.003633064,0.049267487,0.144160005,11.67096774,0.14919045
102.25,3.381694869,-0.000931591,0.049317824,0.144125714,11.67096774,0.153806514
102.25,3.381694869,0.00431997,0.049366061,0.136446924,11.67096774,0.158892828
102.25,3.371507841,0.004478893,0.044317633,0.126217889,11.67096774,0.139473597
102.25,3.371507841,0.009735449,0.046908819,0.121080006,11.67096774,0.140533541
102.25,3.371507841,0.009899305,0.052045084,0.113391914,11.67096774,0.136080344
102.25,3.371507841,0.010065578,0.05972641,0.103153639,11.67096774,0.135157308
102.25,3.374054598,0.007686667,0.059763725,0.090365198,11.67096774,0.122547173
102.25,3.371507841,0.002762548,0.059798747,0.077573723,11.67096774,0.1153435
102.25,3.371507841,0.002935879,0.044547878,0.064779211,11.67096774,0.094215267
102.25,3.371507841,0.003111497,0.04457821,0.049434572,11.67096774,0.084478436
102.25,3.371507841,0.003289382,0.042058895,0.039181169,11.67096774,0.070144854
102.25,3.371507841,-0.001625679,0.044631682,0.026377644,11.67096774,0.06274607
102.25,3.374054598,-0.003990991,0.047202028,0.011023993,11.67096774,0.055972746
