Time,IRSensor,XAxis,YAxis,ZAxis,Velocity,acc_1D
179.96,3.371507841,-0.017848996,0.180092309,0.343699445,16.00884956,0.424745955
179.96,3.371507841,-0.010214776,0.212699842,0.351472701,16.00884956,0.457462605
179.96,3.366414326,-0.007674384,0.227479664,0.354147363,16.00884956,0.479038061
179.96,3.366414326,-0.015322953,0.224431866,0.356817648,16.00884956,0.468029494
179.96,3.363867569,-0.020422603,0.203556549,0.341653672,16.00884956,0.428479995
179.97,3.366414326,-0.017878195,0.172495597,0.323938197,16.00884956,0.393629431
179.97,3.366414326,-0.005142175,0.15417446,0.308765473,16.00884956,0.384689554
179.97,3.366414326,-4.76e-05,0.133309702,0.298682609,16.00884956,0.367389365
179.97,3.371507841,-0.002594374,0.114995984,0.283501093,16.00884956,0.345530318
179.97,3.371507841,-0.005139891,0.101780675,0.275956542,16.00884956,0.32670884
179.97,3.371507841,-0.012779269,0.091116616,0.2633133,16.00884956,0.304766937
179.97,3.376601355,-0.012774654,0.072814881,0.253212729,16.00884956,0.283378142
179.97,3.376601355,-0.012768784,0.051970116,0.250749072,16.00884956,0.268978976
179.97,3.379148112,-0.017856829,0.028582414,0.222809668,16.00884956,0.224940276
179.97,3.379148112,-0.02803882,0.000104613,0.194865773,16.00884956,0.170244961
179.97,3.374054598,-0.0280293,-0.025821388,0.169464489,16.00884956,0.126203672
179.97,3.376601355,-0.028018556,-0.046648232,0.14151157,16.00884956,0.074104301
179.97,3.376601355,-0.028006599,-0.057281319,0.11355416,16.00884956,0.040208998
179.97,3.376601355,-0.035636168,-0.078098623,0.093233616,16.00884956,0.003185198
179.97,3.371507841,-0.040716992,-0.08108021,0.083097073,16.00884956,-0.006026545
179.97,3.371507841,-0.043249094,-0.08915132,0.060220402,16.00884956,-0.028885948
179.97,3.368961083,-0.035589756,-0.092122838,0.032244985,16.00884956,-0.040721425
179.97,3.371507841,-0.025381715,-0.089994665,-0.00082918,16.00884956,-0.06008699
179.97,3.363867569,-0.015172572,-0.090408455,-0.021172227,16.00884956,-0.071494372
179.98,3.363867569,-0.007509905,-0.095911391,-0.041519783,16.00884956,-0.091863778
179.98,3.363867569,-0.010036481,-0.103956149,-0.072060347,16.00884956,-0.127400809
179.98,3.366414326,-0.010014411,-0.104353623,-0.08222839,16.00884956,-0.128527875
179.98,3.366414326,-0.015086439,-0.102198227,-0.107683668,16.00884956,-0.153843658
179.98,3.366414326,-0.020157443,-0.09494262,-0.125502025,16.00884956,-0.170215799
179.98,3.368961083,-0.022679871,-0.082586704,-0.133136329,16.00884956,-0.174916582
179.98,3.371507841,-0.015011032,-0.085508431,-0.14332218,16.00884956,-0.179890039
179.98,3.368961083,-0.01243636,-0.090971417,-0.145871077,16.00884956,-0.181977374
179.98,3.371507841,-0.012408312,-0.109164635,-0.153518643,16.00884956,-0.19729446
179.98,3.371507841,-0.014926904,-0.129898971,-0.168811991,16.00884956,-0.223195028
179.98,3.376601355,-0.014897031,-0.148079835,-0.179015479,16.00884956,-0.238782676
179.98,3.376601355,-0.017413839,-0.140781802,-0.18667623,16.00884956,-0.249082421
179.98,3.376601355,-0.017382197,-0.113099324,-0.189247085,16.00884956,-0.23215145
179.98,3.376601355,-0.012254555,-0.072674102,-0.181633765,16.00884956,-0.187865517
179.98,3.376601355,-0.007126075,-0.047525913,-0.174024753,16.00884956,-0.160970132
179.98,3.371507841,0.000550783,-0.045296472,-0.168967162,16.00884956,-0.154253613
179.98,3.368961083,0.00313328,-0.053249418,-0.171555188,16.00884956,-0.168375992
179.98,3.371507841,0.005716537,-0.066290161,-0.166506038,16.00884956,-0.181820517
179.98,3.368961083,0.010848095,-0.076776905,-0.153819705,16.00884956,-0.184584544
179.98,3.363867569,0.013432806,-0.069426015,-0.133496156,16.00884956,-0.159924004
179.98,3.366414326,0.013470639,-0.064615511,-0.100441126,16.00884956,-0.127673779
179.99,3.363867569,0.008413991,-0.036872751,-0.080125824,16.00884956,-0.091624116
179.99,3.366414326,0.008453141,-0.019312053,-0.062361709,16.00884956,-0.066135315
179.99,3.366414326,0.013588066,-0.017027864,-0.044601625,16.00884956,-0.042977573
179.99,3.363867569,0.021271159,-0.022378349,-0.039581167,16.00884956,-0.038053838
179.99,3.363867569,0.026407241,-0.027721675,-0.029470431,16.00884956,-0.029863476
179.99,3.363867569,0.0289963,-0.04579403,-0.02445788,16.00884956,-0.03821506
179.99,3.368961083,0.031585877,-0.053670042,-0.027090597,16.00884956,-0.046299092
179.99,3.368961083,0.023985683,-0.058991429,-0.034821424,16.00884956,-0.062291148
179.99,3.368961083,0.016385968,-0.049021864,-0.02982044,16.00884956,-0.059321763
179.99,3.371507841,0.011334287,-0.036497655,-0.014634753,16.00884956,-0.04359462
179.99,3.368961083,0.006283036,-0.00868251,0.008188548,16.00884956,-0.009467161
179.99,3.376601355,0.00377974,0.001309228,0.033555252,16.00884956,0.019900476
179.99,3.376601355,0.003824398,0.013855666,0.038541289,16.00884956,0.027119509
179.99,3.376601355,0.001321836,0.026409631,0.035882329,16.00884956,0.033024586
179.99,3.374054598,0.006462301,0.036423891,0.035766921,16.00884956,0.045791831
179.99,3.374054598,0.006507905,0.054087506,0.035647983,16.00884956,0.06541447
179.99,3.368961083,0.016744079,0.056475158,0.038072665,16.00884956,0.074699379
179.99,3.371507841,0.024432918,0.053775906,0.043041009,16.00884956,0.086271374
179.99,3.366414326,0.021931703,0.043442517,0.0378174,16.00884956,0.075518051
180,3.363867569,0.016883109,0.015285987,0.042778895,16.00884956,0.056341507
180,3.361320812,0.011834682,-0.017957371,0.032454284,16.00884956,0.010179257
180,3.366414326,0.00678639,-0.030814951,0.032314905,16.00884956,-0.006357971
180,3.363867569,-0.000809362,-0.038570306,0.037266572,16.00884956,-0.014026355
180,3.368961083,-0.008405019,-0.038676142,0.039667953,16.00884956,-0.018625626
180,3.371507841,-0.008357897,-0.041321478,0.034424864,16.00884956,-0.028105364
180,3.371507841,-0.010858325,-0.041411779,0.034272986,16.00884956,-0.026667827
180,3.371507841,-0.013358736,-0.033852484,0.031570998,16.00884956,-0.026514353
180,3.371507841,-0.013311563,-0.031379872,0.036507472,16.00884956,-0.024295936
180,3.376601355,0.002021026,-0.02380492,0.036346858,16.00884956,-0.007139428
180,3.376601355,0.01225841,0.001608637,0.031089207,16.00884956,0.018238323
180,3.376601355,0.014852981,0.009199182,0.0309231,16.00884956,0.022978242
180,3.376601355,0.017447408,-0.006127786,0.023112971,16.00884956,0.006336942
180,3.374054598,0.012398967,-0.029088712,0.002564648,16.00884956,-0.034209139
180,3.376601355,0.00735035,-0.062230826,-0.015439076,16.00884956,-0.079770438
180,3.374054598,0.012491831,-0.074987059,-0.028351008,16.00884956,-0.097414835
180,3.379148112,0.009990394,-0.072451919,-0.046359586,16.00884956,-0.116480667
180,3.368961083,0.002393569,-0.082645296,-0.061823352,16.00884956,-0.147810962
180,3.371507841,0.002439212,-0.085189127,-0.067100886,16.00884956,-0.152362609
180,3.368961083,0.002484568,-0.092819726,-0.082569132,16.00884956,-0.169556979
180,3.368961083,0.00252962,-0.097895323,-0.092945282,16.00884956,-0.178071309
180.01,3.366414326,2.67e-05,-0.092774154,-0.100776401,16.00884956,-0.180893933
180.01,3.366414326,-0.002476493,-0.069814462,-0.106062396,16.00884956,-0.172808177
180.01,0.139672948,-0.004980118,-0.059583369,-0.111350326,16.00884956,-0.169435788
180.01,0.137126191,-0.002389012,-0.039155588,-0.101357358,16.00884956,-0.134237505
180.01,0.142219705,-0.009988659,-0.021267453,-0.08117767,16.00884956,-0.107864568
180.01,0.144766462,-0.002303332,-0.011013495,-0.068641099,16.00884956,-0.075550086
180.01,0.14731322,-0.007356355,-0.018582761,-0.061200434,16.00884956,-0.083657511
180.01,0.144766462,-0.004767158,-0.031238996,-0.066496979,16.00884956,-0.103955996
180.01,0.149859977,-0.002178492,-0.054076753,-0.081983547,16.00884956,-0.13651446
